"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
1122.6,28.8,251,59,11,"中证1000购26年7月7300",1096.6,1154.8,43,7300,0,0.9932,"中证1000",8521.23
865.2,28.56,192.2,129,11,"中证1000购26年9月7600",868.4,884.6,1205,7600,0,0.8714,"中证1000",8521.23
280,28.44,62,148,11,"中证1000购26年12月9000",280.8,288,1159,9000,18.48,0.4049,"中证1000",8521.23
472.8,28.13,103.8,78,11,"沪深300购26年6月4400",474.2,480,589,4400,0,1,"沪深300",4891.71
92.4,27.98,20.2,125,11,"沪深300购27年3月5600",91.6,92.2,544,5600,17.56,0.1883,"沪深300",4891.71
198.6,27.96,43.4,6,11,"沪深300购26年8月4700",212.4,219.8,46,4700,0,0.7515,"沪深300",4891.71
224.2,27.82,48.8,76,11,"中证1000购27年3月9600",217.4,224.4,245,9600,18.89,0.3093,"中证1000",8521.23
752,27.59,162.6,53,11,"中证1000购26年12月7800",734.8,771,826,7800,0,0.7576,"中证1000",8521.23
372,27.57,80.4,268,11,"沪深300购26年9月4500",372.8,380,1720,4500,0,0.8759,"沪深300",4891.71
742.6,27.51,160.2,3,11,"中证1000购26年8月7700",768.2,796.4,30,7700,0,0.8799,"中证1000",8521.23
20.4,27.5,4.4,65,11,"沪深300购26年8月5400",20,20.6,102,5400,17.98,0.0745,"沪深300",4891.71
557.4,27.38,119.8,106,11,"中证1000购26年12月8200",540.2,580,1442,8200,14.23,0.6445,"中证1000",8521.23
55.4,27.06,11.8,67,11,"上证50购26年8月3000",55.4,56.6,187,3000,15.6,0.3841,"上证50",2938.65
650.4,26.88,137.8,166,11,"中证1000购26年12月8000",632.2,670.2,1050,8000,11.68,0.7028,"中证1000",8521.23
404.6,26.68,85.2,86,11,"中证1000购27年3月8800",395.4,412,378,8800,16.55,0.4883,"中证1000",8521.23
189,26.51,39.6,118,11,"沪深300购26年12月4900",185.2,189.4,585,4900,12.73,0.5389,"沪深300",4891.71
229.4,26.46,48,13,11,"沪深300购26年8月4650",244.8,251.8,40,4650,0,0.8003,"沪深300",4891.71
78.4,26.45,16.4,387,11,"上证50购26年9月3000",77,78.4,1406,3000,16.84,0.4113,"上证50",2938.65
62.2,26.42,13,112,11,"沪深300购26年12月5600",62,66.2,641,5600,18.68,0.1286,"沪深300",4891.71
1011.2,26.4,211.2,241,11,"中证1000购26年9月7400",1000,1031.4,785,7400,0,0.9158,"中证1000",8521.23
113,26.4,23.6,75,11,"沪深300购26年12月5200",109.2,120.6,779,5200,15.63,0.3263,"沪深300",4891.71
493,26.09,102,4,11,"沪深300购26年7月4350",488.8,496,41,4350,0,0.9956,"沪深300",4891.71
189.2,25.63,38.6,114,11,"中证1000购27年3月9800",194.8,197,269,9800,19.16,0.2713,"中证1000",8521.23
222.4,25.51,45.2,76,11,"沪深300购26年12月4800",220.4,231.2,685,4800,11.14,0.6132,"沪深300",4891.71
344.4,25.24,69.4,17,11,"中证1000购27年3月9000",343.4,345,159,9000,17.07,0.4403,"中证1000",8521.23
117.2,25.21,23.6,229,11,"上证50购26年9月2900",117,118,1765,2900,15.28,0.6098,"上证50",2938.65
155.2,25.16,31.2,57,11,"沪深300购26年12月5000",154.8,165.6,526,5000,13.57,0.4647,"沪深300",4891.71
1203,25.1,241.4,104,11,"中证1000购26年7月7200",1192.4,1251.2,256,7200,0,0.9963,"中证1000",8521.23
337.6,25.04,67.6,"-",11,"上证50沽27年3月3000",242.2,247.6,101,3000,31.28,-0.5158,"上证50",2938.65
812,24.96,162.2,12,11,"中证1000购26年8月7600",845.6,873.4,23,7600,0,0.9061,"中证1000",8521.23
650.8,24.91,129.8,1,11,"中证1000购26年8月7800",694.2,724.2,77,7800,0,0.8494,"中证1000",8521.23
266.2,24.86,53,3,11,"沪深300购26年8月4600",275.6,290,38,4600,0,0.8433,"沪深300",4891.71
871.6,24.8,173.2,74,11,"中证1000购26年12月7600",849.8,871.6,1093,7600,0,0.8076,"中证1000",8521.23
163.2,24.77,32.4,586,11,"中证1000购27年3月10000",167.4,170,715,10000,19.59,0.2365,"中证1000",8521.23
447.4,24.69,88.6,50,11,"沪深300购26年9月4400",444.6,456,561,4400,0,0.9256,"沪深300",4891.71
19.2,24.68,3.8,174,11,"上证50购26年9月3400",19.2,19.8,1265,3400,22.58,0.0187,"上证50",2938.65
169.6,24.52,33.4,173,11,"上证50购26年7月2750",172,178.2,365,2750,0,0.9579,"上证50",2938.65
321.8,24.44,63.2,176,11,"沪深300购26年12月4600",310.8,329.6,1000,4600,4.37,0.7517,"沪深300",4891.71
253,24.14,49.2,65,11,"中证1000购27年3月9400",261.8,262.8,210,9400,18.13,0.3503,"中证1000",8521.23
1163.6,23.87,224.2,33,11,"中证1000购26年9月7200",1148.2,1208.2,654,7200,0,0.9483,"中证1000",8521.23
427.2,23.68,81.8,20,11,"沪深300购26年7月4400",440.8,455.8,187,4400,0,0.9912,"沪深300",4891.71
22.2,23.33,4.2,45,11,"上证50购26年8月3150",23,24.8,105,3150,17.12,0.1241,"上证50",2938.65
218,23.16,41,123,11,"上证50购26年7月2700",213.8,223.6,221,2700,0,0.9858,"上证50",2938.65
1355,23.09,254.2,70,11,"中证1000购26年6月7100",1350.4,1394.8,146,7100,0,1,"中证1000",8521.23
522.2,22.87,97.2,34,11,"中证1000购27年3月8400",519.8,540.8,463,8400,14.14,0.5875,"中证1000",8521.23
282.8,22.85,52.6,1,11,"上证50购26年8月2650",262.4,276,13,2650,0,0.9707,"上证50",2938.65
1463.8,22.8,271.8,38,11,"中证1000购26年6月7000",1450.4,1497.8,473,7000,0,1,"中证1000",8521.23
290,22.57,53.4,21,11,"中证1000购27年3月9200",297.6,300,156,9200,17.44,0.3941,"中证1000",8521.23
264.4,22.52,48.6,160,11,"沪深300购26年12月4700",261.4,275,903,4700,9.02,0.685,"沪深300",4891.71
81,22.36,14.8,62,11,"沪深300购26年12月5400",82,85,1445,5400,17.06,0.2124,"沪深300",4891.71
378.2,22.32,69,163,11,"沪深300购26年12月4500",368.8,387.4,1129,4500,0,0.8112,"沪深300",4891.71
49.4,22.28,9,10,11,"上证50购26年12月3300",48.2,49.6,479,3300,18.88,0.1319,"上证50",2938.65
1339.6,22.23,243.6,144,11,"中证1000购26年9月7000",1316.6,1376.6,925,7000,0,0.9704,"中证1000",8521.23
596.2,22.22,108.4,36,11,"中证1000购27年3月8200",610.6,626.4,447,8200,12.52,0.6372,"中证1000",8521.23
300.2,22.13,54.4,5,11,"沪深300购26年8月4550",312,327,22,4550,0,0.88,"沪深300",4891.71
696.2,22.1,126,56,11,"中证1000购27年3月8000",674.4,707.8,361,8000,10.86,0.6858,"中证1000",8521.23
779.4,21.97,140.4,29,11,"中证1000购27年3月7800",765.8,797.8,365,7800,0,0.7324,"中证1000",8521.23
70,21.95,12.6,41,11,"上证50购26年8月2950",72.4,74.8,113,2950,14.27,0.5006,"上证50",2938.65
65.6,21.93,11.8,11,11,"上证50购26年12月3200",63.4,65.2,495,3200,18.07,0.2146,"上证50",2938.65
1206.6,21.58,214.2,95,11,"中证1000购26年6月7200",1250.4,1288.8,815,7200,0,1,"中证1000",8521.23
